Aquatic and Fitness Center,38.826395,-77.304297
Aqui Building,38.832053,-77.309502
Art and Design Building,38.827957,-77.306363
Buchanan Hall,38.828826,-77.308485
Carow Hall,38.831475,-77.301275
Center for the Arts/Concert Hall,38.829516,-77.309348
Central Heating and Cooling Plant,38.831657,-77.302813
Child Development Center,38.835651,-77.304668
College Hall,38.829706,-77.310101
Cross Cottage,38.828752,-77.310916
David King Hall,38.830594,-77.306635
de Laski Performing Arts Building,38.829786,-77.308657
EagleBank Arena,38.826877,-77.309669
East Building,38.832998,-77.308297
Enterprise Hall,38.829106,-77.305967
Exploratory Hall,38.829729,-77.305454
Facilities Administration,38.832326,-77.302849
"Facilities Management, Archives",38.832582,-77.301551
"Facilities Management, Operations",38.832476,-77.30224
Fenwick Library,38.83202,-77.307084
Field House and Module,38.833704,-77.314869
Finley Building,38.833025,-77.308967
Greenhouse,38.828044,-77.301397
Harris Theatre,38.830981,-77.308547
Innovation Hall,38.828502,-77.307427
Johnson Center,38.829869,-77.307356
Krasnow Institute,38.831141,-77.300377
Krug Hall,38.832452,-77.308556
Lecture Hall,38.833121,-77.307579
Merten Hall,38.835009,-77.307841
Music/Theater,38.829285,-77.308001
Nguyen Engineering Building,38.827527,-77.305164
Northeast Module,38.834526,-77.304087
Northeast Module II,38.834086,-77.303946
Nottoway Annex,38.825429,-77.305573
Peterson Hall,38.834435,-77.309244
Planetary Hall,38.829896,-77.306161
Police and Safety Hdqrt.,38.835341,-77.305935
Recreation and Athletic Complex,38.830652,-77.312398
Recycling Center,38.832589,-77.300813
Research Hall,38.828386,-77.305262
Rivanna Module,38.832583,-77.304093
Roberts House,38.829628,-77.300316
Robinson Hall B,38.830897,-77.308043
Student Union Building 1,38.831571,-77.308965
TheaterSpace/Black Box,38.829491,-77.308852
The Hub,38.830681,-77.304875
Thompson Hall,38.832858,-77.309959
Warehouse,Customer Service Center,38.831609,-77.302058
West Building,38.832498,-77.309206
West PE Module,38.831416,-77.314459
Blue Ridge,38.832964,-77.306478
Eastern Shore,38.833441,-77.304252
Hampton Roads and Pilot House,38.833766,-77.305377
Northern Neck,38.833758,-77.307231
Piedmont,38.832332,-77.306051
Sandbridge,38.832661,-77.306222
Skyline Fitness Center,38.831689,-77.305777
Southside Dining,38.831325,-77.305545
Tidewater,38.831989,-77.305856
Commonwealth,38.833373,-77.306359
Dominion,38.832939,-77.305661
Amherst,38.832609,-77.304837
Brunswick,38.832452,-77.304551
Carroll,38.831921,-77.304493
Dickenson,38.831707,-77.304686
Essex,38.831818,-77.304994
Franklin,38.832108,-77.305361
Grayson,38.832387,-77.305357
Hanover,38.832153,-77.304789
Liberty Square,38.827547,-77.302632
Potomac Heights/Housing Office,38.826184,-77.302382
Adams,38.829615,-77.301027
Eisenhower and Ike's Diner,38.828931,-77.302098
Harrison,38.829391,-77.302562
Jackson,38.828677,-77.301359
Jefferson,38.830046,-77.302515
Kennedy,38.829234,-77.301206
Lincoln,38.828259,-77.301326
Madison,38.830129,-77.302056
Monroe,38.829768,-77.302651
Roosevelt,38.828463,-77.301796
Taylor,38.827712,-77.301767
Truman,38.829556,-77.301526
Washington,38.829977,-77.301723
Wilson,38.829261,-77.302215
Rogers,38.834635,-77.310857
Whitetop,38.834117,-77.311771
Mason Global Center,38.829447,-77.314605
